what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874071807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874073009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366874079388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874079672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874080755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1366874083787
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1366874084848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366874085915
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366874094195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874100694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874102118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366874102135
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1366874102832
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1366874102866
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1366874104282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366874108084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874108373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366874109417
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366874110803
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: ToggleButtonDemo",1366874113970
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366874114874
