what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1366941493882
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1366941497416
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1366941497578
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1366941500104
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366941511707
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366941519777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941522963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941530428
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1366941541993
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1366941547185
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366941558099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1366941558115
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1366941565245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941565312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941573242
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1366941575165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366941577019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941598173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941606064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941664940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941733145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941734631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941737339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366941740131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366942239813
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366942241523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366942244561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366942262820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1366942262839
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1366942269203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366942275369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366942288338
